/Users/jessewest/Desktop/rv-finder/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
=== PULLING LINKS ===
  Total: 64,550
  [ 25.3%] 16,350/64,550 | ETA: 22min
  [ 25.4%] 16,400/64,550 | ETA: 22min
  [ 25.5%] 16,450/64,550 | ETA: 22min
  [ 25.6%] 16,500/64,550 | ETA: 22min
  [ 25.6%] 16,550/64,550 | ETA: 22min
  [ 25.7%] 16,600/64,550 | ETA: 22min
  [ 25.8%] 16,650/64,550 | ETA: 22min
  [ 25.9%] 16,700/64,550 | ETA: 22min
  [ 25.9%] 16,750/64,550 | ETA: 22min
  [ 26.0%] 16,800/64,550 | ETA: 22min
  [ 26.1%] 16,850/64,550 | ETA: 21min
  [ 26.2%] 16,900/64,550 | ETA: 21min
  [ 26.3%] 16,950/64,550 | ETA: 21min
  [ 26.3%] 17,000/64,550 | ETA: 21min
  [ 26.4%] 17,050/64,550 | ETA: 21min
  [ 26.5%] 17,100/64,550 | ETA: 21min
  [ 26.6%] 17,150/64,550 | ETA: 21min
  [ 26.6%] 17,200/64,550 | ETA: 21min
  [ 26.7%] 17,250/64,550 | ETA: 21min
  [ 26.8%] 17,300/64,550 | ETA: 21min
  [ 26.9%] 17,350/64,550 | ETA: 21min
  [ 27.0%] 17,400/64,550 | ETA: 21min
  [ 27.0%] 17,450/64,550 | ETA: 21min
  [ 27.1%] 17,500/64,550 | ETA: 21min
  [ 27.2%] 17,550/64,550 | ETA: 21min
  [ 27.3%] 17,600/64,550 | ETA: 21min
  [ 27.3%] 17,650/64,550 | ETA: 21min
  [ 27.4%] 17,700/64,550 | ETA: 21min
  [ 27.5%] 17,750/64,550 | ETA: 21min
  [ 27.6%] 17,800/64,550 | ETA: 21min
  [ 27.7%] 17,850/64,550 | ETA: 21min
  [ 27.7%] 17,900/64,550 | ETA: 21min
  [ 27.8%] 17,950/64,550 | ETA: 21min
  [ 27.9%] 18,000/64,550 | ETA: 21min
  [ 28.0%] 18,050/64,550 | ETA: 21min
  [ 28.0%] 18,100/64,550 | ETA: 21min
  [ 28.1%] 18,150/64,550 | ETA: 21min
  [ 28.2%] 18,200/64,550 | ETA: 21min
  [ 28.3%] 18,250/64,550 | ETA: 21min
  [ 28.4%] 18,300/64,550 | ETA: 21min
  [ 28.4%] 18,350/64,550 | ETA: 21min
  [ 28.5%] 18,400/64,550 | ETA: 21min
  [ 28.6%] 18,450/64,550 | ETA: 21min
  [ 28.7%] 18,500/64,550 | ETA: 21min
  [ 28.7%] 18,550/64,550 | ETA: 21min
  [ 28.8%] 18,600/64,550 | ETA: 21min
  [ 28.9%] 18,650/64,550 | ETA: 21min
  [ 29.0%] 18,700/64,550 | ETA: 21min
  [ 29.0%] 18,750/64,550 | ETA: 21min
  [ 29.1%] 18,800/64,550 | ETA: 21min
  [ 29.2%] 18,850/64,550 | ETA: 21min
  [ 29.3%] 18,900/64,550 | ETA: 21min
  [ 29.4%] 18,950/64,550 | ETA: 21min
  [ 29.4%] 19,000/64,550 | ETA: 21min
  [ 29.5%] 19,050/64,550 | ETA: 20min
  [ 29.6%] 19,100/64,550 | ETA: 20min
  [ 29.7%] 19,150/64,550 | ETA: 20min
  [ 29.7%] 19,200/64,550 | ETA: 20min
  [ 29.8%] 19,250/64,550 | ETA: 20min
  [ 29.9%] 19,300/64,550 | ETA: 20min
  [ 30.0%] 19,350/64,550 | ETA: 20min
  [ 30.1%] 19,400/64,550 | ETA: 20min
  [ 30.1%] 19,450/64,550 | ETA: 20min
  [ 30.2%] 19,500/64,550 | ETA: 20min
  [ 30.3%] 19,550/64,550 | ETA: 20min
  [ 30.4%] 19,600/64,550 | ETA: 20min
  [ 30.4%] 19,650/64,550 | ETA: 20min
  [ 30.5%] 19,700/64,550 | ETA: 20min
  [ 30.6%] 19,750/64,550 | ETA: 20min
  [ 30.7%] 19,800/64,550 | ETA: 20min
  [ 30.8%] 19,850/64,550 | ETA: 20min
  [ 30.8%] 19,900/64,550 | ETA: 20min
  [ 30.9%] 19,950/64,550 | ETA: 20min
  [ 31.0%] 20,000/64,550 | ETA: 20min
  [ 31.1%] 20,050/64,550 | ETA: 20min
  [ 31.1%] 20,100/64,550 | ETA: 20min
  [ 31.2%] 20,150/64,550 | ETA: 20min
  [ 31.3%] 20,200/64,550 | ETA: 20min
  [ 31.4%] 20,250/64,550 | ETA: 20min
  [ 31.4%] 20,300/64,550 | ETA: 20min
  [ 31.5%] 20,350/64,550 | ETA: 20min
  [ 31.6%] 20,400/64,550 | ETA: 20min
  [ 31.7%] 20,450/64,550 | ETA: 20min
  [ 31.8%] 20,500/64,550 | ETA: 20min
  [ 31.8%] 20,550/64,550 | ETA: 20min
  [ 31.9%] 20,600/64,550 | ETA: 20min
  [ 32.0%] 20,650/64,550 | ETA: 20min
  [ 32.1%] 20,700/64,550 | ETA: 20min
  [ 32.1%] 20,750/64,550 | ETA: 20min
  [ 32.2%] 20,800/64,550 | ETA: 20min
  [ 32.3%] 20,850/64,550 | ETA: 20min
  [ 32.4%] 20,900/64,550 | ETA: 20min
  [ 32.5%] 20,950/64,550 | ETA: 20min
  [ 32.5%] 21,000/64,550 | ETA: 20min
