/Users/jessewest/Desktop/rv-finder/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
RIDB Bulk Campsite Pull
Database: /Users/jessewest/Desktop/rv-finder/ridb.db
  Existing campsites in DB: 34000
  Resuming from offset 34000 (approx 34000 already stored)
  Total campsites to pull: 132,974
  Estimated time: ~60 minutes
  [ 30.5%] 40,550/132,974 campsites | 229/sec | ETA: 7min
  [ 30.5%] 40,600/132,974 campsites | 228/sec | ETA: 7min
  [ 30.6%] 40,650/132,974 campsites | 226/sec | ETA: 7min
  [ 30.6%] 40,700/132,974 campsites | 225/sec | ETA: 7min
  [ 30.6%] 40,750/132,974 campsites | 223/sec | ETA: 7min
  [ 30.7%] 40,800/132,974 campsites | 222/sec | ETA: 7min
  [ 30.7%] 40,850/132,974 campsites | 221/sec | ETA: 7min
  [ 30.8%] 40,900/132,974 campsites | 219/sec | ETA: 7min
  [ 30.8%] 40,950/132,974 campsites | 218/sec | ETA: 7min
  [ 30.8%] 41,000/132,974 campsites | 217/sec | ETA: 7min
  [ 30.9%] 41,050/132,974 campsites | 215/sec | ETA: 7min
  [ 30.9%] 41,100/132,974 campsites | 214/sec | ETA: 7min
  [ 30.9%] 41,150/132,974 campsites | 213/sec | ETA: 7min
  [ 31.0%] 41,200/132,974 campsites | 212/sec | ETA: 7min
  [ 31.0%] 41,250/132,974 campsites | 210/sec | ETA: 7min
  [ 31.1%] 41,300/132,974 campsites | 209/sec | ETA: 7min
  [ 31.1%] 41,350/132,974 campsites | 208/sec | ETA: 7min
  [ 31.1%] 41,400/132,974 campsites | 207/sec | ETA: 7min
  [ 31.2%] 41,450/132,974 campsites | 206/sec | ETA: 7min
  [ 31.2%] 41,500/132,974 campsites | 204/sec | ETA: 7min
  [ 31.2%] 41,550/132,974 campsites | 204/sec | ETA: 7min
  [ 31.3%] 41,600/132,974 campsites | 203/sec | ETA: 8min
  [ 31.3%] 41,650/132,974 campsites | 201/sec | ETA: 8min
  [ 31.4%] 41,700/132,974 campsites | 200/sec | ETA: 8min
  [ 31.4%] 41,750/132,974 campsites | 199/sec | ETA: 8min
  [ 31.4%] 41,800/132,974 campsites | 198/sec | ETA: 8min
  [ 31.5%] 41,850/132,974 campsites | 197/sec | ETA: 8min
  [ 31.5%] 41,900/132,974 campsites | 196/sec | ETA: 8min
  [ 31.5%] 41,950/132,974 campsites | 195/sec | ETA: 8min
  [ 31.6%] 42,000/132,974 campsites | 194/sec | ETA: 8min
  [ 31.6%] 42,050/132,974 campsites | 193/sec | ETA: 8min
  [ 31.7%] 42,100/132,974 campsites | 192/sec | ETA: 8min
  [ 31.7%] 42,150/132,974 campsites | 191/sec | ETA: 8min
  [ 31.7%] 42,200/132,974 campsites | 190/sec | ETA: 8min
  [ 31.8%] 42,250/132,974 campsites | 189/sec | ETA: 8min
  [ 31.8%] 42,300/132,974 campsites | 188/sec | ETA: 8min
  [ 31.8%] 42,350/132,974 campsites | 188/sec | ETA: 8min
  [ 31.9%] 42,400/132,974 campsites | 187/sec | ETA: 8min
  [ 31.9%] 42,450/132,974 campsites | 186/sec | ETA: 8min
  [ 32.0%] 42,500/132,974 campsites | 185/sec | ETA: 8min
  [ 32.0%] 42,550/132,974 campsites | 184/sec | ETA: 8min
  [ 32.0%] 42,600/132,974 campsites | 183/sec | ETA: 8min
  [ 32.1%] 42,650/132,974 campsites | 182/sec | ETA: 8min
  [ 32.1%] 42,700/132,974 campsites | 181/sec | ETA: 8min
  [ 32.1%] 42,750/132,974 campsites | 181/sec | ETA: 8min
  [ 32.2%] 42,800/132,974 campsites | 180/sec | ETA: 8min
  [ 32.2%] 42,850/132,974 campsites | 179/sec | ETA: 8min
  [ 32.3%] 42,900/132,974 campsites | 178/sec | ETA: 8min
  [ 32.3%] 42,950/132,974 campsites | 177/sec | ETA: 8min
  [ 32.3%] 43,000/132,974 campsites | 177/sec | ETA: 8min
  [ 32.4%] 43,050/132,974 campsites | 176/sec | ETA: 9min
  [ 32.4%] 43,100/132,974 campsites | 175/sec | ETA: 9min
  [ 32.4%] 43,150/132,974 campsites | 174/sec | ETA: 9min
  [ 32.5%] 43,200/132,974 campsites | 174/sec | ETA: 9min
  [ 32.5%] 43,250/132,974 campsites | 173/sec | ETA: 9min
  [ 32.6%] 43,300/132,974 campsites | 172/sec | ETA: 9min
  [ 32.6%] 43,350/132,974 campsites | 171/sec | ETA: 9min
  [ 32.6%] 43,400/132,974 campsites | 171/sec | ETA: 9min
  [ 32.7%] 43,450/132,974 campsites | 170/sec | ETA: 9min
  [ 32.7%] 43,500/132,974 campsites | 169/sec | ETA: 9min
  [ 32.8%] 43,550/132,974 campsites | 169/sec | ETA: 9min
  [ 32.8%] 43,600/132,974 campsites | 168/sec | ETA: 9min
  [ 32.8%] 43,650/132,974 campsites | 167/sec | ETA: 9min
  [ 32.9%] 43,700/132,974 campsites | 167/sec | ETA: 9min
  [ 32.9%] 43,750/132,974 campsites | 166/sec | ETA: 9min
  [ 32.9%] 43,800/132,974 campsites | 165/sec | ETA: 9min
  [ 33.0%] 43,850/132,974 campsites | 165/sec | ETA: 9min
  [ 33.0%] 43,900/132,974 campsites | 164/sec | ETA: 9min
  [ 33.1%] 43,950/132,974 campsites | 163/sec | ETA: 9min
  [ 33.1%] 44,000/132,974 campsites | 163/sec | ETA: 9min
  [ 33.1%] 44,050/132,974 campsites | 162/sec | ETA: 9min
  [ 33.2%] 44,100/132,974 campsites | 161/sec | ETA: 9min
  [ 33.2%] 44,150/132,974 campsites | 161/sec | ETA: 9min
  [ 33.2%] 44,200/132,974 campsites | 160/sec | ETA: 9min
  [ 33.3%] 44,250/132,974 campsites | 160/sec | ETA: 9min
  [ 33.3%] 44,300/132,974 campsites | 159/sec | ETA: 9min
  [ 33.4%] 44,350/132,974 campsites | 159/sec | ETA: 9min
  [ 33.4%] 44,400/132,974 campsites | 158/sec | ETA: 9min
  [ 33.4%] 44,450/132,974 campsites | 157/sec | ETA: 9min
  [ 33.5%] 44,500/132,974 campsites | 157/sec | ETA: 9min
  [ 33.5%] 44,550/132,974 campsites | 156/sec | ETA: 9min
  [ 33.5%] 44,600/132,974 campsites | 156/sec | ETA: 9min
  [ 33.6%] 44,650/132,974 campsites | 155/sec | ETA: 9min
  [ 33.6%] 44,700/132,974 campsites | 154/sec | ETA: 10min
  [ 33.7%] 44,750/132,974 campsites | 154/sec | ETA: 10min
  [ 33.7%] 44,800/132,974 campsites | 153/sec | ETA: 10min
  [ 33.7%] 44,850/132,974 campsites | 153/sec | ETA: 10min
  [ 33.8%] 44,900/132,974 campsites | 152/sec | ETA: 10min
  [ 33.8%] 44,950/132,974 campsites | 152/sec | ETA: 10min
  [ 33.8%] 45,000/132,974 campsites | 151/sec | ETA: 10min
  [ 33.9%] 45,050/132,974 campsites | 151/sec | ETA: 10min
  [ 33.9%] 45,100/132,974 campsites | 150/sec | ETA: 10min
  [ 34.0%] 45,150/132,974 campsites | 150/sec | ETA: 10min
  [ 34.0%] 45,200/132,974 campsites | 149/sec | ETA: 10min
  [ 34.0%] 45,250/132,974 campsites | 149/sec | ETA: 10min
  [ 34.1%] 45,300/132,974 campsites | 148/sec | ETA: 10min
  [ 34.1%] 45,350/132,974 campsites | 148/sec | ETA: 10min
  [ 34.1%] 45,400/132,974 campsites | 147/sec | ETA: 10min
  [ 34.2%] 45,450/132,974 campsites | 147/sec | ETA: 10min
  [ 34.2%] 45,500/132,974 campsites | 146/sec | ETA: 10min
  [ 34.3%] 45,550/132,974 campsites | 146/sec | ETA: 10min
  [ 34.3%] 45,600/132,974 campsites | 145/sec | ETA: 10min
  [ 34.3%] 45,650/132,974 campsites | 145/sec | ETA: 10min
  [ 34.4%] 45,700/132,974 campsites | 144/sec | ETA: 10min
  [ 34.4%] 45,750/132,974 campsites | 144/sec | ETA: 10min
  [ 34.4%] 45,800/132,974 campsites | 144/sec | ETA: 10min
  [ 34.5%] 45,850/132,974 campsites | 143/sec | ETA: 10min
  [ 34.5%] 45,900/132,974 campsites | 143/sec | ETA: 10min
  [ 34.6%] 45,950/132,974 campsites | 142/sec | ETA: 10min
  [ 34.6%] 46,000/132,974 campsites | 142/sec | ETA: 10min
  [ 34.6%] 46,050/132,974 campsites | 141/sec | ETA: 10min
  [ 34.7%] 46,100/132,974 campsites | 141/sec | ETA: 10min
  [ 34.7%] 46,150/132,974 campsites | 140/sec | ETA: 10min
  [ 34.7%] 46,200/132,974 campsites | 140/sec | ETA: 10min
  [ 34.8%] 46,250/132,974 campsites | 140/sec | ETA: 10min
  [ 34.8%] 46,300/132,974 campsites | 139/sec | ETA: 10min
  [ 34.9%] 46,350/132,974 campsites | 139/sec | ETA: 10min
  [ 34.9%] 46,400/132,974 campsites | 138/sec | ETA: 10min
  [ 34.9%] 46,450/132,974 campsites | 138/sec | ETA: 10min
  [ 35.0%] 46,500/132,974 campsites | 138/sec | ETA: 10min
  [ 35.0%] 46,550/132,974 campsites | 137/sec | ETA: 11min
  [ 35.0%] 46,600/132,974 campsites | 137/sec | ETA: 11min
  [ 35.1%] 46,650/132,974 campsites | 136/sec | ETA: 11min
  [ 35.1%] 46,700/132,974 campsites | 136/sec | ETA: 11min
  [ 35.2%] 46,750/132,974 campsites | 136/sec | ETA: 11min
  [ 35.2%] 46,800/132,974 campsites | 135/sec | ETA: 11min
  [ 35.2%] 46,850/132,974 campsites | 135/sec | ETA: 11min
  [ 35.3%] 46,900/132,974 campsites | 134/sec | ETA: 11min
  [ 35.3%] 46,950/132,974 campsites | 134/sec | ETA: 11min
  [ 35.3%] 47,000/132,974 campsites | 134/sec | ETA: 11min
  [ 35.4%] 47,050/132,974 campsites | 133/sec | ETA: 11min
  [ 35.4%] 47,100/132,974 campsites | 133/sec | ETA: 11min
  [ 35.5%] 47,150/132,974 campsites | 133/sec | ETA: 11min
  [ 35.5%] 47,200/132,974 campsites | 132/sec | ETA: 11min
  [ 35.5%] 47,250/132,974 campsites | 132/sec | ETA: 11min
  [ 35.6%] 47,300/132,974 campsites | 131/sec | ETA: 11min
  [ 35.6%] 47,350/132,974 campsites | 131/sec | ETA: 11min
  [ 35.6%] 47,400/132,974 campsites | 131/sec | ETA: 11min
  [ 35.7%] 47,450/132,974 campsites | 130/sec | ETA: 11min
  [ 35.7%] 47,500/132,974 campsites | 130/sec | ETA: 11min
  [ 35.8%] 47,550/132,974 campsites | 130/sec | ETA: 11min
  [ 35.8%] 47,600/132,974 campsites | 129/sec | ETA: 11min
  [ 35.8%] 47,650/132,974 campsites | 129/sec | ETA: 11min
  [ 35.9%] 47,700/132,974 campsites | 129/sec | ETA: 11min
  [ 35.9%] 47,750/132,974 campsites | 128/sec | ETA: 11min
  [ 35.9%] 47,800/132,974 campsites | 128/sec | ETA: 11min
  [ 36.0%] 47,850/132,974 campsites | 128/sec | ETA: 11min
  [ 36.0%] 47,900/132,974 campsites | 127/sec | ETA: 11min
  [ 36.1%] 47,950/132,974 campsites | 127/sec | ETA: 11min
  [ 36.1%] 48,000/132,974 campsites | 127/sec | ETA: 11min
  [ 36.1%] 48,050/132,974 campsites | 126/sec | ETA: 11min
  [ 36.2%] 48,100/132,974 campsites | 126/sec | ETA: 11min
  [ 36.2%] 48,150/132,974 campsites | 126/sec | ETA: 11min
  [ 36.2%] 48,200/132,974 campsites | 126/sec | ETA: 11min
  [ 36.3%] 48,250/132,974 campsites | 125/sec | ETA: 11min
  [ 36.3%] 48,300/132,974 campsites | 125/sec | ETA: 11min
  [ 36.4%] 48,350/132,974 campsites | 125/sec | ETA: 11min
  [ 36.4%] 48,400/132,974 campsites | 124/sec | ETA: 11min
  [ 36.4%] 48,450/132,974 campsites | 124/sec | ETA: 11min
  [ 36.5%] 48,500/132,974 campsites | 124/sec | ETA: 11min
  [ 36.5%] 48,550/132,974 campsites | 123/sec | ETA: 11min
  [ 36.5%] 48,600/132,974 campsites | 123/sec | ETA: 11min
  [ 36.6%] 48,650/132,974 campsites | 123/sec | ETA: 11min
  [ 36.6%] 48,700/132,974 campsites | 122/sec | ETA: 11min
  [ 36.7%] 48,750/132,974 campsites | 122/sec | ETA: 11min
  [ 36.7%] 48,800/132,974 campsites | 122/sec | ETA: 12min
  [ 36.7%] 48,850/132,974 campsites | 122/sec | ETA: 12min
  [ 36.8%] 48,900/132,974 campsites | 121/sec | ETA: 12min
  [ 36.8%] 48,950/132,974 campsites | 121/sec | ETA: 12min
  [ 36.8%] 49,000/132,974 campsites | 121/sec | ETA: 12min
  [ 36.9%] 49,050/132,974 campsites | 120/sec | ETA: 12min
  [ 36.9%] 49,100/132,974 campsites | 120/sec | ETA: 12min
  [ 37.0%] 49,150/132,974 campsites | 120/sec | ETA: 12min
  [ 37.0%] 49,200/132,974 campsites | 120/sec | ETA: 12min
  [ 37.0%] 49,250/132,974 campsites | 119/sec | ETA: 12min
  [ 37.1%] 49,300/132,974 campsites | 119/sec | ETA: 12min
  [ 37.1%] 49,350/132,974 campsites | 119/sec | ETA: 12min
  [ 37.2%] 49,400/132,974 campsites | 119/sec | ETA: 12min
  [ 37.2%] 49,450/132,974 campsites | 118/sec | ETA: 12min
  [ 37.2%] 49,500/132,974 campsites | 118/sec | ETA: 12min
  [ 37.3%] 49,550/132,974 campsites | 118/sec | ETA: 12min
  [ 37.3%] 49,600/132,974 campsites | 118/sec | ETA: 12min
  [ 37.3%] 49,650/132,974 campsites | 117/sec | ETA: 12min
  [ 37.4%] 49,700/132,974 campsites | 117/sec | ETA: 12min
  [ 37.4%] 49,750/132,974 campsites | 117/sec | ETA: 12min
  [ 37.5%] 49,800/132,974 campsites | 116/sec | ETA: 12min
  [ 37.5%] 49,850/132,974 campsites | 116/sec | ETA: 12min
  [ 37.5%] 49,900/132,974 campsites | 116/sec | ETA: 12min
  [ 37.6%] 49,950/132,974 campsites | 116/sec | ETA: 12min
  [ 37.6%] 50,000/132,974 campsites | 115/sec | ETA: 12min
  [ 37.6%] 50,050/132,974 campsites | 115/sec | ETA: 12min
  [ 37.7%] 50,100/132,974 campsites | 115/sec | ETA: 12min
  [ 37.7%] 50,150/132,974 campsites | 115/sec | ETA: 12min
  [ 37.8%] 50,200/132,974 campsites | 115/sec | ETA: 12min
  [ 37.8%] 50,250/132,974 campsites | 114/sec | ETA: 12min
  [ 37.8%] 50,300/132,974 campsites | 114/sec | ETA: 12min
  [ 37.9%] 50,350/132,974 campsites | 114/sec | ETA: 12min
  [ 37.9%] 50,400/132,974 campsites | 114/sec | ETA: 12min
  [ 37.9%] 50,450/132,974 campsites | 113/sec | ETA: 12min
  [ 38.0%] 50,500/132,974 campsites | 113/sec | ETA: 12min
  [ 38.0%] 50,550/132,974 campsites | 113/sec | ETA: 12min
  [ 38.1%] 50,600/132,974 campsites | 113/sec | ETA: 12min
  [ 38.1%] 50,650/132,974 campsites | 112/sec | ETA: 12min
  [ 38.1%] 50,700/132,974 campsites | 112/sec | ETA: 12min
  [ 38.2%] 50,750/132,974 campsites | 112/sec | ETA: 12min
  [ 38.2%] 50,800/132,974 campsites | 112/sec | ETA: 12min
  [ 38.2%] 50,850/132,974 campsites | 111/sec | ETA: 12min
  [ 38.3%] 50,900/132,974 campsites | 111/sec | ETA: 12min
  [ 38.3%] 50,950/132,974 campsites | 111/sec | ETA: 12min
  [ 38.4%] 51,000/132,974 campsites | 111/sec | ETA: 12min
  [ 38.4%] 51,050/132,974 campsites | 111/sec | ETA: 12min
  [ 38.4%] 51,100/132,974 campsites | 110/sec | ETA: 12min
  [ 38.5%] 51,150/132,974 campsites | 110/sec | ETA: 12min
  [ 38.5%] 51,200/132,974 campsites | 110/sec | ETA: 12min
  [ 38.5%] 51,250/132,974 campsites | 110/sec | ETA: 12min
  [ 38.6%] 51,300/132,974 campsites | 110/sec | ETA: 12min
  [ 38.6%] 51,350/132,974 campsites | 109/sec | ETA: 12min
  [ 38.7%] 51,400/132,974 campsites | 109/sec | ETA: 12min
  [ 38.7%] 51,450/132,974 campsites | 109/sec | ETA: 12min
  [ 38.7%] 51,500/132,974 campsites | 109/sec | ETA: 12min
  [ 38.8%] 51,550/132,974 campsites | 109/sec | ETA: 13min
  [ 38.8%] 51,600/132,974 campsites | 108/sec | ETA: 13min
